RE/2324/0055,TAO,TBC,25-10-2023,TS MC BMERINGU,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,155 - 165,PIECES,FRONT BODY+BACK BODY+SLEEVE,SNOW WHITE,,
,,,,,,,,,,,,,,
RE/2324/0055,TAO,TBC,25-10-2023,TS MC BMERINGU,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,155 - 165,PIECES,NECK BINDING,SNOW WHITE,,
,,,,,,,,,,,,,,
RE/2324/0058,TAO,TBC,05-11-2023,TS MC BCHICHEN,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,155 - 165,PIECES,FRONT BODY+BACK BODY+SLEEVE,MELON 16-1442 TCX,,
,,,,,,,,,,,,,,
RE/2324/0058,TAO,TBC,05-11-2023,TS MC BCHICHEN,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,155 - 165,PIECES,NECK TAPE,MELON 16-1442 TCX,,
,,,,,,,,,,,,,,
RE/2324/0058,TAO,TBC,05-11-2023,TS MC BCHICHEN,1X1 LYCRA RIB,95% ORGANIC COTTON 5% ELASTANE,Main Fabric,Solid,235 - 245,PIECES,NECK RIB,MELON 16-1442 TCX,,
,,,,,,,,,,,,,,
RE/2324/0060,TAO,TBC,30-11-2023,SWEAT BTYOUKA,FRENCH TERRY,100% ORGANIC COTTON,Main Fabric,Solid,315 - 325,PIECES,FRONT BODY+BACK BODY+SLEEVE,SNOW WHITE,,
,,,,,,,,,,,,,,
RE/2324/0060,TAO,TBC,30-11-2023,SWEAT BTYOUKA,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,175 - 185,PIECES,NECK TAPE,SNOW WHITE,,
,,,,,,,,,,,,,,
RE/2324/0060,TAO,TBC,30-11-2023,SWEAT BTYOUKA,2X2 LYCRA DURBY RIB,95% ORGANIC COTTON 5% ELASTANE,Main Fabric,Solid,415 - 425,PIECES,NECK +BOTTOM +SLEEVE = CUFF,SNOW WHITE,,
,,,,,,,,,,,,,,
RE/2324/0079,TAO,TBC,12-02-2024,TS MC CTSPOT,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,175 - 185,PIECES,FRONT,RFD,,
,,,,,,,,,,,,,,
RE/2324/0079,TAO,TBC,12-02-2024,TS MC CTSPOT,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,175 - 185,PIECES,BACK,RFD,,
,,,,,,,,,,,,,,
RE/2324/0079,TAO,TBC,12-02-2024,TS MC CTSPOT,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,175 - 185,PIECES,SLEEVE,RFD,,
,,,,,,,,,,,,,,
RE/2324/0079,TAO,TBC,12-02-2024,TS MC CTSPOT,2X2 LYCRA DURBY RIB,95% ORGANIC COTTON 5% ELASTANE,Main Fabric,Solid,255 - 265,PIECES,NECK RIB,RFD,,
,,,,,,,,,,,,,,
RE/2324/0080,TAO,TBC,25-12-2023,TS MC CTCAMPUS,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,175 - 185,PIECES,FRONT,CASHMERE BLUE 14-4115 TCX,,
,,,,,,,,,,,,,,
RE/2324/0080,TAO,TBC,25-12-2023,TS MC CTCAMPUS,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,175 - 185,PIECES,BACK BODY AND SLEEVE,CASHMERE BLUE 14-4115 TCX,,
,,,,,,,,,,,,,,
RE/2324/0080,TAO,TBC,25-12-2023,TS MC CTCAMPUS,2X2 LYCRA DURBY RIB,95% ORGANIC COTTON 5% ELASTANE,Main Fabric,Solid,255 - 265,PIECES,NECK RIB,CASHMERE BLUE 14-4115 TCX,,
,,,,,,,,,,,,,,
RE/2324/0081,TAO,TBC,25-12-2023,TS MC CTMIAMI,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,175 - 185,PIECES,FRONT,SNOW WHITE 11-0602 TCX,,
,,,,,,,,,,,,,,
RE/2324/0081,TAO,TBC,25-12-2023,TS MC CTMIAMI,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,175 - 185,PIECES,BACK BODY AND SLEEVE,SNOW WHITE 11-0602 TCX,,
,,,,,,,,,,,,,,
RE/2324/0081,TAO,TBC,25-12-2023,TS MC CTMIAMI,2X2 LYCRA DURBY RIB,95% ORGANIC COTTON 5% ELASTANE,Main Fabric,Solid,255 - 265,PIECES,NECK RIB,SNOW WHITE 11-0602 TCX,,
,,,,,,,,,,,,,,
RE/2324/0082,TAO,TBC,01-02-2024,TS MC CTSUN,SINGLE JERSEY,100% ORGANIC COTTON,Main Fabric,Solid,175 - 185,PIECES,FRONT,FAIR  AQUA,,
,,,,,,,,,,,,,,
